X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
0.4,2.8,3.4,18.96,11.3942,0.4524,#17551,0.7528,IfcWallStandardCase,1.664,G
0.4,3.41,3.4,23.108,11.2481,0.4519,#17617,0.9284,IfcWallStandardCase,2.0544,G
5.5,0.4,3.4,34.36,11.5612,0.478,#24512,1.4206,IfcWallStandardCase,2.972,D1
4,0.4,1,7.92,13.0263,1.8067,#24578,1.0985,IfcWallStandardCase,0.608,G
4.2,0.4,1,8.32,13,1.8065,#24743,1.1561,IfcWallStandardCase,0.64,G
0.4,3.41,3.4,22.865,11.263,0.4553,#33682,0.9242,IfcWallStandardCase,2.0301,G
1.3,0.4,4.8,12.4,12.253,0.3189,#37689,0.3227,IfcWallStandardCase,1.012,G
5.3,0.4,4.68,49.528,10.8386,0.3224,#37755,1.4734,IfcWallStandardCase,4.5696,G
0.4,4,4.8,37.6,11.2172,0.3335,#37788,1.1178,IfcWallStandardCase,3.352,W1
0.4,3,4.8,26.8,11.7133,0.3704,#37821,0.8474,IfcWallStandardCase,2.288,W1
0.4,2.6,2.1,10.84,11.886,0.7623,#37887,0.6952,IfcWallStandardCase,0.912,G
5.3,0.4,4.8,50.08,11.0114,0.3272,#37920,1.4882,IfcWallStandardCase,4.548,W1
5.7,0.4,0.8,9.04,13.697,2.4072,#37954,1.5888,IfcWallStandardCase,0.66,G
0.4,9.2,0.8,14.64,13.5556,2.4062,#37987,2.5987,IfcWallStandardCase,1.08,G
5.3,0.4,0.8,8.4,13.7255,2.4075,#38053,1.4734,IfcWallStandardCase,0.612,G
0.4,4.5,1.05,9.37,12.8181,1.6999,#38231,1.2426,IfcWallStandardCase,0.731,G
0.4,6.5,1.05,13.57,12.6704,1.6989,#38264,1.8196,IfcWallStandardCase,1.071,G
0.4,0.6,2.4,2.8,15.9091,0.7335,#38297,0.1291,IfcWallStandardCase,0.176,G
0.4,5.2,2.4,24.88,11.3091,0.6566,#38330,1.4445,IfcWallStandardCase,2.2,G
1.65,0.4,2.4,7.84,12.2884,0.6623,#38363,0.4225,IfcWallStandardCase,0.638,G
1.45,0.4,2.4,6.88,12.5091,0.6644,#38396,0.3654,IfcWallStandardCase,0.55,G
