X,Y,Z,areas,ax1s,ax2s,bat_ids,gyrations,types,volumes,type 2
0.4,2.25,3.4,12.49,13.0785,0.5744,#176133,0.5485,IfcWallStandardCase,0.955,D1
0.3,1.4,3.4,8.56,22.2917,0.9052,#176195,0.3476,IfcWallStandardCase,0.384,G
0.4,2.1,3.4,14.2,11.6776,0.4535,#176493,0.5515,IfcWallStandardCase,1.216,G
0.3,6.6,3.4,42.88,20.9375,0.9022,#176617,1.8477,IfcWallStandardCase,2.048,G
0.4,4.5,3.4,27.79,11.6033,0.5195,#176679,1.2442,IfcWallStandardCase,2.395,D1
0.3,3,3.4,19.12,21.3393,0.9027,#176741,0.8088,IfcWallStandardCase,0.896,G
0.8,0.5,3.78,6.804,10.5587,0.3005,#176886,0.1936,IfcWallStandardCase,0.6444,G
0.4,1.1,3.4,4.67,21.3242,1.3133,#176975,0.2876,IfcWallStandardCase,0.219,D1
0.3,5.2,3.4,33.64,21.025,0.9023,#177459,1.4437,IfcWallStandardCase,1.6,G
0.4,1.6,3.4,8.07,14.9722,0.7743,#177583,0.4173,IfcWallStandardCase,0.539,D1
4.25,0.4,3.4,26.09,11.6734,0.5236,#177645,1.1702,IfcWallStandardCase,2.235,D1
2.85,0.4,3.4,19.3,11.3797,0.4523,#177706,0.7672,IfcWallStandardCase,1.696,G
0.4,1.55,3.4,10.46,12.1065,0.456,#177763,0.394,IfcWallStandardCase,0.864,G
4.5,0.3,3.4,29.02,21.0901,0.9024,#177820,1.2416,IfcWallStandardCase,1.376,G
0.3,0.7,3.4,3.94,24.625,0.92,#177877,0.1472,IfcWallStandardCase,0.16,G
0.4,0.7,3.4,4.68,14.625,0.4858,#177934,0.1555,IfcWallStandardCase,0.32,G
3.4,0.4,3.4,23.04,11.25,0.4519,#177991,0.9256,IfcWallStandardCase,2.048,G
1.175,0.4,3.4,7.91,12.6763,0.4604,#178048,0.2873,IfcWallStandardCase,0.624,G
0.4,4.7,19.42,182.4685,10.5485,0.0752,#178105,1.3003,IfcWallStandardCase,17.298,G
1,0.4,19.42,38.76,12.6041,0.0774,#178163,0.238,IfcWallStandardCase,3.0752,G
4.5,0.4,3.4,30.52,11.0901,0.4515,#178391,1.2426,IfcWallStandardCase,2.752,G
2.3,0.4,3.4,12.83,12.999,0.6417,#178448,0.6334,IfcWallStandardCase,0.987,D1
0.4,2.2,3.4,14.88,11.625,0.4533,#178505,0.5802,IfcWallStandardCase,1.28,G
0.4,2.1,3.4,8.2,17.8261,1.295,#178676,0.5957,IfcWallStandardCase,0.46,D1
1.87,0.535,3.4,13.9509,7.7928,0.2747,#178847,0.4917,IfcWallStandardCase,1.7902,G
8.55,0.4,3.4,55.33,11.0948,0.4746,#184233,2.3669,IfcWallStandardCase,4.987,D1
4.2,0.4,3.4,21.64,11.9956,0.5714,#184295,1.0309,IfcWallStandardCase,1.804,D1
4.2,0.4,3.4,25.75,11.6886,0.5301,#184357,1.1679,IfcWallStandardCase,2.203,D1
4.15,0.4,3.4,22.14,12.4944,0.6753,#184419,1.1966,IfcWallStandardCase,1.772,D1
4.2,0.4,3.4,25.75,11.6886,0.5524,#184481,1.2168,IfcWallStandardCase,2.203,D1
4.2,0.4,3.4,25.75,11.6886,0.5369,#184543,1.1827,IfcWallStandardCase,2.203,D1
0.4,5.75,3.4,36.2901,11.3584,0.513,#184667,1.6389,IfcWallStandardCase,3.195,D1
4.2,0.4,3.4,25.75,11.6886,0.5329,#184853,1.174,IfcWallStandardCase,2.203,D1
4.15,0.4,3.4,25.41,11.7043,0.5223,#184915,1.1339,IfcWallStandardCase,2.171,D1
0.4,5.75,3.4,36.2901,11.3584,0.5143,#185101,1.6432,IfcWallStandardCase,3.195,D1
0.4,4.45,3.4,27.45,11.6166,0.5397,#185225,1.2753,IfcWallStandardCase,2.363,D1
4.55,0.4,3.4,28.13,11.5904,0.5313,#185287,1.2894,IfcWallStandardCase,2.427,D1
4.25,0.45,3.4,23.0924,10.844,0.5767,#186155,1.228,IfcWallStandardCase,2.1295,W1
8,0.4,3.4,48.32,11.407,0.4847,#187581,2.0532,IfcWallStandardCase,4.236,D1
7.95,0.4,3.4,45.66,11.3469,0.4785,#187643,1.9254,IfcWallStandardCase,4.024,D1
0.4,2.3,3.4,12.83,12.999,0.6048,#187705,0.597,IfcWallStandardCase,0.987,D1
0.3,9.0354,3.4,58.9537,20.8514,0.9022,#187978,2.5507,IfcWallStandardCase,2.8273,G
0.3,7.6371,3.4,49.7246,20.8939,0.9022,#188164,2.1471,IfcWallStandardCase,2.3799,G
4.25,0.4,3.4,26.09,11.6734,0.5208,#188226,1.1639,IfcWallStandardCase,2.235,D1
0.4,4.7,3.4,31.8801,11.0694,0.4515,#188682,1.3003,IfcWallStandardCase,2.88,G
1,0.4,3.4,6.72,13.125,0.4649,#188739,0.238,IfcWallStandardCase,0.512,G
2.3,0.4,3.4,12.83,12.999,0.6352,#189024,0.6269,IfcWallStandardCase,0.987,D1
0.4,5.85,3.4,36.97,11.344,0.5018,#189428,1.6355,IfcWallStandardCase,3.259,D1
0.35,0.65,3.4,3.9749,18.4029,0.6339,#189485,0.1369,IfcWallStandardCase,0.216,G
7.45,0.35,3.4,49.535,14.2342,0.6015,#189566,2.0933,IfcWallStandardCase,3.48,G
0.35,2.9,3.4,19.05,14.6991,0.6023,#189623,0.7806,IfcWallStandardCase,1.296,G
0.4,2.5646,3.4,17.3592,11.4708,0.4527,#189767,0.685,IfcWallStandardCase,1.5133,G
5.2,0.3,3.4,33.64,21.025,0.9023,#189824,1.4437,IfcWallStandardCase,1.6,G
0.4,4.9629,3.4,30.938,11.4956,0.4744,#189963,1.2768,IfcWallStandardCase,2.6913,D1
0.3,4.45,3.4,28.6899,21.0956,0.9024,#190134,1.2272,IfcWallStandardCase,1.36,G
5.63,0.4,3.4,38.204,10.9933,0.4514,#190305,1.5686,IfcWallStandardCase,3.4752,G
0.8,0.3,3.4,4.6,23.9583,0.9146,#190362,0.1756,IfcWallStandardCase,0.192,G
0.3,7.3,3.4,47.5,20.9067,0.9022,#190419,2.0498,IfcWallStandardCase,2.272,G
5.23,0.3,3.4,33.838,21.0226,0.9023,#190558,1.4523,IfcWallStandardCase,1.6096,G
0.4,2.5,3.4,16.92,11.4946,0.4528,#190615,0.6665,IfcWallStandardCase,1.472,G
0.55,8.5,3.4,58.882,6.9084,0.2736,#190672,2.3318,IfcWallStandardCase,8.5232,W1
0.55,5.5,3.4,39.87,6.7166,0.2583,#190759,1.5333,IfcWallStandardCase,5.936,G
0.45,4.4825,3.4,31.1492,9.092,0.3615,#190883,1.2384,IfcWallStandardCase,3.426,G
1.87,0.535,3.4,13.9442,7.8359,0.2747,#191078,0.4889,IfcWallStandardCase,1.7795,G
0.3,0.85,3.4,4.9299,23.702,0.9127,#191192,0.1898,IfcWallStandardCase,0.208,G
0.75,0.3,3.4,4.27,24.2614,0.9169,#191249,0.1614,IfcWallStandardCase,0.176,G
0.7241,0.3,3.4,4.0989,24.4413,0.9184,#191306,0.154,IfcWallStandardCase,0.1677,G
0.3,0.75,3.4,4.2699,24.2614,0.9169,#191363,0.1614,IfcWallStandardCase,0.176,G
2.1,0.3,3.4,13.18,21.6776,0.9034,#191477,0.5492,IfcWallStandardCase,0.608,G
0.3,0.45,3.4,2.29,28.625,0.9716,#191534,0.0777,IfcWallStandardCase,0.08,G
4.075,0.4,3.4,24.9,11.7287,0.5274,#191712,1.1196,IfcWallStandardCase,2.123,D1
4.075,0.4,3.4,21.63,12.5464,0.7008,#191769,1.2082,IfcWallStandardCase,1.724,D1
0.4,1.4,3.4,9.4399,12.2917,0.4573,#191826,0.3512,IfcWallStandardCase,0.768,G
0.3,2.9919,3.4,19.0664,21.3414,0.9027,#192691,0.8065,IfcWallStandardCase,0.8934,G
2.7,0.3,3.4,17.14,21.425,0.9028,#192748,0.7223,IfcWallStandardCase,0.8,G
2.7,0.4,3.4,18.28,11.425,0.4525,#192862,0.724,IfcWallStandardCase,1.6,G
0.4,0.9,3.4,6.04,13.4821,0.4691,#192919,0.2102,IfcWallStandardCase,0.448,G
0.4,2.02,3.4,13.656,11.7239,0.4538,#192976,0.5286,IfcWallStandardCase,1.1648,G
9,0.3,3.4,35.1687,21.8109,1.2931,#224671,2.0851,IfcWallStandardCase,1.6124,D1
4.2,0.3,0.7,4.9,24.5,5.7753,#266014,1.1551,IfcWallStandardCase,0.2,G
0.4,2.6,3.4,17.6,11.4583,0.4526,#289492,0.6952,IfcWallStandardCase,1.536,G
0.3,4.2,3.4,6.2477,25.9904,4.8036,#291515,1.1547,IfcWallStandardCase,0.2404,G
0.3,4.2,3.4,6.7731,28.1445,4.7972,#291572,1.1544,IfcWallStandardCase,0.2407,G
0.4,2.1,3.4,8.2,17.8261,1.2944,#311895,0.5954,IfcWallStandardCase,0.46,D1
0.4,5.9,2.9409,31.8525,11.6864,0.6006,#378304,1.637,IfcWallStandardCase,2.7256,D1
4.2,0.535,3.52,31.4644,7.0726,0.2605,#470542,1.1587,IfcWallStandardCase,4.4488,G
2.05,0.535,3.52,15.7479,7.6536,0.2638,#470790,0.5427,IfcWallStandardCase,2.0576,G
0.4,6,3.52,42.1599,10.9472,0.435,#481026,1.6753,IfcWallStandardCase,3.8512,G
0.4,5.9,3.52,41.4561,10.9533,0.435,#481088,1.6465,IfcWallStandardCase,3.7848,G
1.85,0.4,3.52,10.174,14.6052,0.7821,#481212,0.5448,IfcWallStandardCase,0.6966,D1
