X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes,type 2
7.1,0.22,2.7,19.9718,103.0543,10.8063,#90993,2VIUSKMJrAYOi5zw0V3uP_,2.0943,IfcWallStandardCase,0.1938,W1
7.1,0.4,2.8,26.7198,12.8709,1.0084,#94139,1vdU$CBJ1BjO6E$RUd4QKf,2.0935,IfcWallStandardCase,2.076,W1
1.73,0.29,3.25,8.2584,26.2434,1.4386,#39438,2TV8BHSIbD0QXseWAOAewn,0.4527,IfcWallStandardCase,0.3147,D1
0.29,1.105,3.25,3.3944,34.9137,3.0877,#39471,2TV8BHSIbD0QXseWAOAed4,0.3002,IfcWallStandardCase,0.0972,D1
0.22,1.195,2.8,2.0418,112.5579,18.4895,#73669,3kZ$J2DOL21f39$OSajQj5,0.3354,IfcWallStandardCase,0.0181,D1
0.22,2.005,2.8,6.2862,104.318,7.4082,#75611,3kZ$J2DOL21f39$OSajQ_i,0.4464,IfcWallStandardCase,0.0603,D1
0.22,3.21,2.7,7.7944,104.0641,14.8943,#75836,35YGX0kvH4tBLlUh8nLBkg,1.1156,IfcWallStandardCase,0.0749,D1
5.1,0.22,2.7,21.136,102.0077,7.0913,#76209,35YGX0kvH4tBLlUh8nLB1n,1.4693,IfcWallStandardCase,0.2072,D1
0.22,1.76,2.7,4.2664,106.1294,12.6126,#76362,0OM3TdaV12ARg_wb2PpjJ_,0.507,IfcWallStandardCase,0.0402,D1
2.215,0.22,2.7,6.5596,104.2033,8.5024,#76602,2q$$2E9$P56AW7V3V5H3l2,0.5352,IfcWallStandardCase,0.0629,D1
0.29,5.1,2.8,23.59,24.1577,1.3536,#90022,2VIUSKMJrAYOi5zw0V3vbP,1.3218,IfcWallStandardCase,0.9765,D1
0.22,5,2.7,20.632,102.0376,6.8718,#91397,2VIUSKMJrAYOi5zw0V3uxt,1.3895,IfcWallStandardCase,0.2022,D1
0.29,5.1,2.8,22.96,24.041,1.3614,#91517,1JgJZjybP7iwzDeaN2QMa2,1.3002,IfcWallStandardCase,0.955,D1
0.3,2.7,2.75,10.4,23.1884,1.6729,#91770,1gd465w89DagSdMJc9SxUw,0.7503,IfcWallStandardCase,0.4485,D1
2.9,0.3,2.75,11.04,23.0721,1.724,#91980,1gd465w89DagSdMJc9Sxqd,0.8249,IfcWallStandardCase,0.4785,D1
0.22,6.08,2.7,26.0888,101.6362,6.5996,#94085,1vdU$CBJ1BjO6E$RUd4QeZ,1.694,IfcWallStandardCase,0.2567,D1
