,X,Y,Z,areas,ax1s,ax2s,bat_ids,global_ids,gyrations,types,volumes
470,0.3,0.45,3.4,2.29,28.625,0.9716,#191534,3ApOw5qHLBW8AfoK$V0Sfc,0.0777,IfcWallStandardCase,0.08
471,4.075,0.4,3.4,24.9,11.7287,0.5274,#191712,3ApOw5qHLBW8AfoK$V0SjU,1.1196,IfcWallStandardCase,2.123
472,4.075,0.4,3.4,21.63,12.5464,0.7008,#191769,3ApOw5qHLBW8AfoK$V0Sja,1.2082,IfcWallStandardCase,1.724
473,0.4,1.4,3.4,9.4399,12.2917,0.4573,#191826,3ApOw5qHLBW8AfoK$V0ScI,0.3512,IfcWallStandardCase,0.768
474,0.3,2.9919,3.4,19.0664,21.3414,0.9027,#192691,0Z2ugCQjLEqRSlEG3EFIQy,0.8065,IfcWallStandardCase,0.8934
475,2.7,0.3,3.4,17.14,21.425,0.9028,#192748,0Z2ugCQjLEqRSlEG3EFIPI,0.7223,IfcWallStandardCase,0.8
476,2.7,0.4,3.4,18.28,11.425,0.4525,#192862,0Z2ugCQjLEqRSlEG3EFLd5,0.724,IfcWallStandardCase,1.6
477,0.4,0.9,3.4,6.04,13.4821,0.4691,#192919,0Z2ugCQjLEqRSlEG3EFLds,0.2102,IfcWallStandardCase,0.448
478,0.4,2.02,3.4,13.656,11.7239,0.4538,#192976,0Z2ugCQjLEqRSlEG3EFLbN,0.5286,IfcWallStandardCase,1.1648
479,9.0,0.3,3.4,35.1687,21.8109,1.2931,#224671,1UyGR27uf1TABIdEUXWhJY,2.0851,IfcWallStandardCase,1.6124
480,4.2,0.3,0.7,4.9,24.5,5.7753,#266014,19M28zIPv9PR8Rq6xQFbNx,1.1551,IfcWallStandardCase,0.2
481,0.4,2.6,3.4,17.6,11.4583,0.4526,#289492,1tUHiDqr9Ek8i9mtlZ0oeV,0.6952,IfcWallStandardCase,1.536
482,0.3,4.2,3.4,6.2477,25.9904,4.8036,#291515,1tUHiDqr9Ek8i9mtlZ0pTG,1.1547,IfcWallStandardCase,0.2404
483,0.3,4.2,3.4,6.7731,28.1445,4.7972,#291572,1tUHiDqr9Ek8i9mtlZ0p2k,1.1544,IfcWallStandardCase,0.2407
484,0.4,2.1,3.4,8.2,17.8261,1.2944,#311895,38jwQ6InrAUfHnvBtQKDNO,0.5954,IfcWallStandardCase,0.46
485,0.4,5.9,2.9409,31.8525,11.6864,0.6006,#378304,2Uldxnvob5P9nCNvyoR7Hn,1.637,IfcWallStandardCase,2.7256
486,4.2,0.535,3.52,22.4399,8.5006,0.439,#469858,0ZqacWhpf1Hv5rQXjA6njC,1.1587,IfcWallStandardCase,2.6398
487,4.2,0.535,3.52,31.4644,7.0726,0.2605,#470542,0ZqacWhpf1Hv5rQXjA6njM,1.1587,IfcWallStandardCase,4.4488
488,2.05,0.535,3.52,15.7479,7.6536,0.2638,#470790,0ZqacWhpf1Hv5rQXjA6njk,0.5427,IfcWallStandardCase,2.0576
489,27.2,0.4,3.52,176.528,11.094,0.4876,#480964,0ZqacWhpf1Hv5rQXjA6nY2,7.7594,IfcWallStandardCase,15.912
490,0.4,6.0,3.52,42.1599,10.9472,0.435,#481026,0ZqacWhpf1Hv5rQXjA6nY0,1.6753,IfcWallStandardCase,3.8512
491,0.4,5.9,3.52,41.4561,10.9533,0.435,#481088,0ZqacWhpf1Hv5rQXjA6nYS,1.6465,IfcWallStandardCase,3.7848
492,1.85,0.4,3.52,10.174,14.6052,0.7821,#481212,0ZqacWhpf1Hv5rQXjA6nYK,0.5448,IfcWallStandardCase,0.6966
493,4.2,0.4,3.52,29.488,11.1024,0.4353,#481274,0ZqacWhpf1Hv5rQXjA6nYI,1.1561,IfcWallStandardCase,2.656
494,4.2,0.4,3.52,22.918,12.4758,0.7283,#481336,0ZqacWhpf1Hv5rQXjA6nYG,1.3378,IfcWallStandardCase,1.837
495,4.2,0.4,3.52,26.718,11.8378,0.5188,#481398,0ZqacWhpf1Hv5rQXjA6nYk,1.171,IfcWallStandardCase,2.257
496,4.2,0.4,3.52,23.948,12.8891,0.6916,#481522,0ZqacWhpf1Hv5rQXjA6nYg,1.285,IfcWallStandardCase,1.858
497,0.4,5.5,3.52,38.64,10.9798,0.4351,#481584,0ZqacWhpf1Hv5rQXjA6nYa,1.5311,IfcWallStandardCase,3.5192
498,27.2,0.4,3.52,179.868,10.985,0.4602,#481646,0ZqacWhpf1Hv5rQXjA6nYY,7.5353,IfcWallStandardCase,16.374
499,4.2,0.4,3.52,26.718,11.8378,0.5115,#481894,0ZqacWhpf1Hv5rQXjA6nYq,1.1544,IfcWallStandardCase,2.257
500,4.2,0.4,3.52,22.918,12.4758,0.7042,#481956,0ZqacWhpf1Hv5rQXjA6nYo,1.2936,IfcWallStandardCase,1.837
501,4.2,0.4,3.52,26.718,11.8378,0.5044,#482018,0ZqacWhpf1Hv5rQXjA6nYm,1.1383,IfcWallStandardCase,2.257
502,2.05,0.4,3.52,11.582,13.9643,0.7525,#482080,0ZqacWhpf1Hv5rQXjA6nZE,0.6242,IfcWallStandardCase,0.8294
503,13.2,0.4,3.52,83.5096,11.264,0.4951,#482142,0ZqacWhpf1Hv5rQXjA6nZC,3.6707,IfcWallStandardCase,7.4138
504,2.35,0.4,3.52,16.464,11.5326,0.4366,#482229,0ZqacWhpf1Hv5rQXjA6nZ8,0.6233,IfcWallStandardCase,1.4276
505,0.4,5.8,3.52,40.7519,10.9596,0.435,#482415,0ZqacWhpf1Hv5rQXjA6nZU,1.6176,IfcWallStandardCase,3.7184
506,0.4,2.6896,3.52,18.8545,11.4058,0.4362,#482477,0ZqacWhpf1Hv5rQXjA6nZS,0.721,IfcWallStandardCase,1.6531
507,0.4,2.2239,3.52,15.5764,11.5906,0.4369,#482539,0ZqacWhpf1Hv5rQXjA6nZQ,0.5871,IfcWallStandardCase,1.3439
508,0.4,3.88,3.52,27.2352,11.1459,0.4354,#482601,0ZqacWhpf1Hv5rQXjA6nZO,1.0639,IfcWallStandardCase,2.4435
509,0.4,5.85,3.52,41.104,10.9564,0.435,#482663,0ZqacWhpf1Hv5rQXjA6nZi,1.632,IfcWallStandardCase,3.7516
510,0.4,5.75,3.52,38.0101,11.4206,0.4945,#482849,0ZqacWhpf1Hv5rQXjA6nZc,1.6456,IfcWallStandardCase,3.3282
511,0.4,5.75,3.52,40.4001,10.9628,0.435,#482973,0ZqacWhpf1Hv5rQXjA6nZY,1.6032,IfcWallStandardCase,3.6852
512,0.4,4.75,3.52,30.97,11.6245,0.4526,#483035,0ZqacWhpf1Hv5rQXjA6nZW,1.2057,IfcWallStandardCase,2.6642
513,0.4,4.225,3.52,29.664,11.0993,0.4353,#483097,0ZqacWhpf1Hv5rQXjA6nZ_,1.1634,IfcWallStandardCase,2.6726
514,0.4,4.2,3.52,29.488,11.1024,0.4353,#483159,0ZqacWhpf1Hv5rQXjA6nZy,1.1561,IfcWallStandardCase,2.656
515,8.55,0.4,3.52,54.112,11.3006,0.4569,#483221,0ZqacWhpf1Hv5rQXjA6nZw,2.1879,IfcWallStandardCase,4.7884
516,0.4,2.3,3.52,10.112,15.8396,1.085,#483283,0ZqacWhpf1Hv5rQXjA6nZu,0.6927,IfcWallStandardCase,0.6384
517,2.1,0.4,3.52,12.314,13.6126,0.6052,#483345,0ZqacWhpf1Hv5rQXjA6nZs,0.5475,IfcWallStandardCase,0.9046
518,4.15,0.4,3.52,26.746,11.8042,0.5107,#483407,0ZqacWhpf1Hv5rQXjA6nZq,1.1571,IfcWallStandardCase,2.2658
519,4.2,0.4,3.52,27.098,11.7869,0.508,#483469,0ZqacWhpf1Hv5rQXjA6nZo,1.1678,IfcWallStandardCase,2.299
520,4.15,0.4,3.52,26.746,11.8042,0.5263,#483593,0ZqacWhpf1Hv5rQXjA6nWE,1.1924,IfcWallStandardCase,2.2658
521,4.2,0.4,3.52,23.488,12.3621,0.67,#483655,0ZqacWhpf1Hv5rQXjA6nWC,1.2731,IfcWallStandardCase,1.9
522,0.4,3.9166,3.52,27.4925,11.1405,0.4354,#483779,0ZqacWhpf1Hv5rQXjA6nW8,1.0744,IfcWallStandardCase,2.4678
523,4.15,0.4,3.52,26.746,11.8042,0.5057,#484027,0ZqacWhpf1Hv5rQXjA6nW0,1.1458,IfcWallStandardCase,2.2658
524,4.15,0.4,3.52,29.136,11.1087,0.4353,#484213,0ZqacWhpf1Hv5rQXjA6nWQ,1.1417,IfcWallStandardCase,2.6228
525,4.2,0.4,3.52,27.098,11.7869,0.525,#484275,0ZqacWhpf1Hv5rQXjA6nWO,1.207,IfcWallStandardCase,2.299
526,0.4,4.3546,3.52,30.5765,11.0838,0.4353,#484399,0ZqacWhpf1Hv5rQXjA6nWk,1.2007,IfcWallStandardCase,2.7587
527,0.4,4.3,3.52,27.802,11.7536,0.5204,#484461,0ZqacWhpf1Hv5rQXjA6nWi,1.2309,IfcWallStandardCase,2.3654
528,4.55,0.4,3.52,29.562,11.6781,0.5082,#484523,0ZqacWhpf1Hv5rQXjA6nWg,1.2864,IfcWallStandardCase,2.5314
529,0.4,1.55,3.52,10.8319,12.0839,0.4395,#484585,0ZqacWhpf1Hv5rQXjA6nWe,0.394,IfcWallStandardCase,0.8964
530,5.0,0.4,3.52,35.12,11.0191,0.4351,#484647,0ZqacWhpf1Hv5rQXjA6nWc,1.3868,IfcWallStandardCase,3.1872
531,5.6,0.4,3.52,39.344,10.9728,0.435,#484709,0ZqacWhpf1Hv5rQXjA6nWa,1.5599,IfcWallStandardCase,3.5856
532,5.1,0.4,3.52,35.824,11.0106,0.4351,#484771,0ZqacWhpf1Hv5rQXjA6nWY,1.4157,IfcWallStandardCase,3.2536
533,8.0,0.4,3.52,50.24,11.3583,0.468,#485019,0ZqacWhpf1Hv5rQXjA6nWw,2.0701,IfcWallStandardCase,4.4232
534,8.0,0.4,3.52,52.088,11.254,0.463,#485081,0ZqacWhpf1Hv5rQXjA6nWu,2.1428,IfcWallStandardCase,4.6284
535,0.4,49.5,3.52,322.11,11.1812,0.4946,#485143,0ZqacWhpf1Hv5rQXjA6nWs,14.2478,IfcWallStandardCase,28.8082
536,4.25,0.4,3.52,27.45,11.77,0.502,#485205,0ZqacWhpf1Hv5rQXjA6nXK,1.1708,IfcWallStandardCase,2.3322
537,2.85,0.4,3.52,19.984,11.3571,0.436,#485262,0ZqacWhpf1Hv5rQXjA6nXL,0.7672,IfcWallStandardCase,1.7596
538,0.4,1.55,3.52,10.832,12.0839,0.4395,#485319,0ZqacWhpf1Hv5rQXjA6nXI,0.394,IfcWallStandardCase,0.8964
539,0.4,0.7,3.52,4.848,14.6024,0.4682,#485376,0ZqacWhpf1Hv5rQXjA6nXJ,0.1555,IfcWallStandardCase,0.332
540,3.5,0.4,3.52,24.56,11.2085,0.4355,#485433,0ZqacWhpf1Hv5rQXjA6nXG,0.9544,IfcWallStandardCase,2.1912
541,1.075,0.4,3.52,7.488,12.8881,0.446,#485490,0ZqacWhpf1Hv5rQXjA6nXH,0.2591,IfcWallStandardCase,0.581
542,4.5,0.4,3.52,31.6,11.0675,0.4352,#485718,0ZqacWhpf1Hv5rQXjA6nXh,1.2426,IfcWallStandardCase,2.8552
543,0.4,2.1,3.52,8.704,17.2152,1.1706,#485775,0ZqacWhpf1Hv5rQXjA6nXc,0.5918,IfcWallStandardCase,0.5056
544,4.2,0.4,3.52,23.488,12.3621,0.6982,#486256,0ZqacWhpf1Hv5rQXjA6nXv,1.3266,IfcWallStandardCase,1.9
545,4.15,0.4,3.52,26.746,11.8042,0.5098,#486380,0ZqacWhpf1Hv5rQXjA6nXr,1.1551,IfcWallStandardCase,2.2658
546,4.2,0.4,3.52,23.488,12.3621,0.6803,#486442,0ZqacWhpf1Hv5rQXjA6nXp,1.2926,IfcWallStandardCase,1.9
547,4.2,0.4,3.52,27.098,11.7869,0.5141,#486504,0ZqacWhpf1Hv5rQXjA6nXn,1.182,IfcWallStandardCase,2.299
548,4.2,0.4,3.52,23.488,12.3621,0.6981,#486752,0ZqacWhpf1Hv5rQXjA6nU9,1.3264,IfcWallStandardCase,1.9
549,4.2,0.4,3.52,27.098,11.7869,0.5221,#486814,0ZqacWhpf1Hv5rQXjA6nU7,1.2004,IfcWallStandardCase,2.299
550,4.15,0.4,3.52,26.746,11.8042,0.5269,#486876,0ZqacWhpf1Hv5rQXjA6nU5,1.1939,IfcWallStandardCase,2.2658
551,4.2,0.4,3.52,27.098,11.7869,0.5206,#487000,0ZqacWhpf1Hv5rQXjA6nU1,1.1969,IfcWallStandardCase,2.299
552,0.4,4.45,3.52,28.858,11.7071,0.5167,#487186,0ZqacWhpf1Hv5rQXjA6nUR,1.2736,IfcWallStandardCase,2.465
553,4.55,0.4,3.52,29.562,11.6781,0.509,#487248,0ZqacWhpf1Hv5rQXjA6nUP,1.2884,IfcWallStandardCase,2.5314
554,8.0,0.4,3.52,50.24,11.3583,0.4668,#487310,0ZqacWhpf1Hv5rQXjA6nUL,2.0646,IfcWallStandardCase,4.4232
555,7.95,0.4,3.52,51.736,11.2587,0.4624,#487372,0ZqacWhpf1Hv5rQXjA6nUJ,2.1247,IfcWallStandardCase,4.5952
556,4.25,0.4,3.52,27.45,11.77,0.4994,#487434,0ZqacWhpf1Hv5rQXjA6nUf,1.1648,IfcWallStandardCase,2.3322
557,3.4,0.4,3.52,23.856,11.2274,0.4356,#487662,0ZqacWhpf1Hv5rQXjA6nUb,0.9256,IfcWallStandardCase,2.1248
558,1.175,0.4,3.52,8.192,12.6537,0.4438,#487719,0ZqacWhpf1Hv5rQXjA6nUY,0.2873,IfcWallStandardCase,0.6474
559,0.4,4.7,3.52,33.0081,11.0469,0.4352,#487776,0ZqacWhpf1Hv5rQXjA6nUZ,1.3003,IfcWallStandardCase,2.988
560,1.0,0.4,3.52,6.96,13.1024,0.4481,#487833,0ZqacWhpf1Hv5rQXjA6nUW,0.238,IfcWallStandardCase,0.5312
561,0.4,49.5,3.52,322.11,11.1812,0.495,#488351,0ZqacWhpf1Hv5rQXjA6nVA,14.2594,IfcWallStandardCase,28.8082
562,4.075,0.4,3.52,26.218,11.8312,0.5246,#488465,0ZqacWhpf1Hv5rQXjA6nV8,1.1626,IfcWallStandardCase,2.216
563,0.4,1.4,3.52,9.7759,12.2691,0.4407,#488522,0ZqacWhpf1Hv5rQXjA6nV6,0.3512,IfcWallStandardCase,0.7968
